;accuracy_lag;accuracy_SMA;accuracy_SARIMAX;starting_on
DCR;0.4921793534932221;0.47132429614181437;0.48175182481751827;2019-07-02 00:00:00
CTSI;0.56;0.49666666666666665;0.51;2021-04-21 00:00:00
BTC;0.5140771637122002;0.5057351407716372;0.5099061522419187;2019-07-02 00:00:00
FTM;0.5078206465067779;0.5255474452554745;0.5224191866527633;2019-07-02 00:00:00
TRB;0.4981684981684982;0.4835164835164835;0.47619047619047616;2020-08-18 00:00:00
MANA;0.5391032325338895;0.4880083420229406;0.5401459854014599;2019-07-02 00:00:00
BAT;0.5318039624608968;0.48279457768508866;0.4942648592283629;2019-07-02 00:00:00
GXS;0.5328467153284672;0.5151199165797706;0.5057351407716372;2019-07-02 00:00:00
STORM;0.5245046923879041;0.5057351407716372;0.5057351407716372;2019-07-02 00:00:00
OMG;0.529718456725756;0.4932221063607925;0.4880083420229406;2019-07-02 00:00:00
STMX;0.583941605839416;0.4619395203336809;0.5589155370177268;2019-07-02 00:00:00
WAN;0.5265901981230449;0.4984358706986444;0.5109489051094891;2019-07-02 00:00:00
IOST;0.5151199165797706;0.46611053180396245;0.4629822732012513;2019-07-02 00:00:00
NMR;0.5214285714285715;0.46785714285714286;0.4714285714285714;2020-08-04 00:00:00
FET;0.5338894681960376;0.47758081334723673;0.5338894681960376;2019-07-02 00:00:00
ICX;0.5610010427528676;0.4765380604796663;0.5224191866527633;2019-07-02 00:00:00
MATIC;0.5137741046831956;0.4931129476584022;0.48760330578512395;2020-02-20 00:00:00
SKL;0.527363184079602;0.4900497512437811;0.47512437810945274;2021-01-09 00:00:00
VET;0.5391032325338895;0.4932221063607925;0.5422314911366006;2019-07-02 00:00:00
KEEP;0.515695067264574;0.47085201793721976;0.45964125560538116;2020-11-26 00:00:00
ALGO;0.5140771637122002;0.49009384775808135;0.49530761209593327;2019-07-02 00:00:00
DOGE;0.5276329509906152;0.4880083420229406;0.5933263816475496;2019-07-02 00:00:00
AXS;0.5362318840579711;0.48695652173913045;0.46956521739130436;2021-03-07 00:00:00
TRX;0.4859228362877998;0.4786235662148071;0.4880083420229406;2019-07-02 00:00:00
BNT;0.5078206465067779;0.49530761209593327;0.4880083420229406;2019-07-02 00:00:00
SAND;0.5506445672191529;0.48066298342541436;0.4714548802946593;2020-08-21 00:00:00
RUNE;0.5017605633802817;0.4841549295774648;0.4876760563380282;2020-07-27 00:00:00
HBAR;0.5671981776765376;0.4635535307517084;0.45785876993166286;2019-09-21 00:00:00
WAVES;0.5922836287799792;0.5067778936392076;0.529718456725756;2019-07-02 00:00:00
FUN;0.5286757038581856;0.5046923879040668;0.5745568300312826;2019-07-02 00:00:00
ARPA;0.5277161862527716;0.48226164079822614;0.4811529933481153;2019-08-28 00:00:00
CREAM;0.524896265560166;0.524896265560166;0.529045643153527;2020-10-21 00:00:00
ETH;0.5119916579770595;0.5067778936392076;0.5151199165797706;2019-07-02 00:00:00
DOCK;0.5192909280500522;0.5099061522419187;0.5537017726798749;2019-07-02 00:00:00
NEXO;0.5182481751824818;0.516162669447341;0.5276329509906152;2019-07-02 00:00:00
SRM;0.5898366606170599;0.4863883847549909;0.49183303085299457;2020-08-13 00:00:00
LTO;0.5391032325338895;0.5046923879040668;0.5109489051094891;2019-07-02 00:00:00
ETC;0.5151199165797706;0.5370177267987487;0.5537017726798749;2019-07-02 00:00:00
BTS;0.4848800834202294;0.4859228362877998;0.5338894681960376;2019-07-02 00:00:00
DOT;0.4981549815498155;0.507380073800738;0.5055350553505535;2020-08-22 00:00:00
VTH;0.7033195020746889;0.45850622406639;0.5954356846473029;2020-10-21 00:00:00
EOS;0.5151199165797706;0.4942648592283629;0.5192909280500522;2019-07-02 00:00:00
ONT;0.5245046923879041;0.48175182481751827;0.4848800834202294;2019-07-02 00:00:00
AGLD;0.5182481751824818;0.5255474452554745;0.5401459854014599;2021-10-01 00:00:00
NKN;0.5250836120401338;0.5050167224080268;0.5050167224080268;2019-09-02 00:00:00
CRV;0.5201465201465202;0.489010989010989;0.47802197802197804;2020-08-18 00:00:00
CELR;0.49739311783107404;0.4921793534932221;0.6100104275286757;2019-07-02 00:00:00
CRO;0.5349322210636079;0.4754953076120959;0.4681960375391032;2019-07-02 00:00:00
OCEAN;0.5370370370370371;0.49506172839506174;0.508641975308642;2019-11-28 00:00:00
CAKE;0.529891304347826;0.4891304347826087;0.48097826086956524;2021-02-12 00:00:00
MDX;0.569811320754717;0.5132075471698113;0.5433962264150943;2021-05-26 00:00:00
CELO;0.5225375626043406;0.4707846410684474;0.5125208681135225;2020-06-26 00:00:00
SXP;0.5210084033613446;0.4857142857142857;0.4789915966386555;2020-06-30 00:00:00
RVN;0.516162669447341;0.49530761209593327;0.5453597497393118;2019-07-02 00:00:00
QTUM;0.5234619395203337;0.48279457768508866;0.49009384775808135;2019-07-02 00:00:00
ZEC;0.5046923879040668;0.49635036496350365;0.5182481751824818;2019-07-02 00:00:00
AUDIO;0.5174129353233831;0.47512437810945274;0.47512437810945274;2021-01-09 00:00:00
ACH;0.5194174757281553;0.49029126213592233;0.5242718446601942;2021-07-24 00:00:00
AVAX;0.5176470588235295;0.4980392156862745;0.49019607843137253;2020-09-23 00:00:00
SUSHI;0.5178907721280602;0.4952919020715631;0.5028248587570622;2020-09-02 00:00:00
ANT;0.5067778936392076;0.5046923879040668;0.5015641293013556;2019-07-02 00:00:00
UMA;0.5374531835205992;0.49063670411985016;0.552434456928839;2020-08-30 00:00:00
FIL;0.5112781954887218;0.5169172932330827;0.5112781954887218;2020-09-01 00:00:00
BAND;0.5050335570469798;0.48322147651006714;0.48825503355704697;2020-06-29 00:00:00
BEAM;0.5224191866527633;0.4880083420229406;0.4807090719499479;2019-07-02 00:00:00
ATOM;0.5067778936392076;0.49113660062565173;0.4942648592283629;2019-07-02 00:00:00
UNI;0.4893203883495146;0.49902912621359224;0.4912621359223301;2020-09-18 00:00:00
TOMO;0.5255474452554745;0.4869655891553702;0.4796663190823775;2019-07-02 00:00:00
ERD;0.5073221757322176;0.49372384937238495;0.4916317991631799;2019-07-05 00:00:00
ENJ;0.5359749739311783;0.49530761209593327;0.4848800834202294;2019-07-02 00:00:00
PERL;0.5121951219512195;0.4844789356984479;0.46895787139689576;2019-08-28 00:00:00
YFI;0.5364120781527532;0.477797513321492;0.477797513321492;2020-08-01 00:00:00
CHZ;0.5391600454029511;0.5073779795686719;0.5777525539160046;2019-09-18 00:00:00
FTT;0.5054229934924078;0.49783080260303686;0.5010845986984815;2019-08-08 00:00:00
SC;0.5484880083420229;0.47236704900938475;0.47340980187695514;2019-07-02 00:00:00
WBTC;0.6802259887005649;0.47909604519774013;0.4768361581920904;2019-09-14 00:00:00
API3;0.5049751243781094;0.5223880597014925;0.5447761194029851;2021-01-09 00:00:00
ZIL;0.5630865484880083;0.4681960375391032;0.5078206465067779;2019-07-02 00:00:00
BCH;0.5015641293013556;0.5015641293013556;0.5005213764337852;2019-07-02 00:00:00
CHR;0.543274244004171;0.4994786235662148;0.5078206465067779;2019-07-02 00:00:00
AAVE;0.5101626016260162;0.491869918699187;0.491869918699187;2020-10-11 00:00:00
DENT;0.5151199165797706;0.49009384775808135;0.5912408759124088;2019-07-02 00:00:00
MKR;0.4796663190823775;0.502606882168926;0.543274244004171;2019-07-02 00:00:00
HT;0.5391032325338895;0.5015641293013556;0.502606882168926;2019-07-02 00:00:00
REN;0.5221674876847291;0.479064039408867;0.48645320197044334;2019-11-26 00:00:00
COTI;0.4902439024390244;0.49390243902439024;0.49878048780487805;2019-11-18 00:00:00
CEL;0.5346062052505967;0.4701670644391408;0.48687350835322196;2020-12-23 00:00:00
PNT;0.5714285714285714;0.4983388704318937;0.49667774086378735;2020-06-23 00:00:00
HIVE;0.6303387334315169;0.47569955817378495;0.561119293078056;2020-04-07 00:00:00
1INCH;0.5522388059701493;0.4701492537313433;0.4701492537313433;2021-01-09 00:00:00
HOT;0.5436241610738255;0.4395973154362416;0.5385906040268457;2020-06-29 00:00:00
